SmartTV-Malaysia,#genre#
东森洋片 ETTV Western,http://223.18.103.169:8277/ettvwestern/playlist.m3u8
龙华洋片 Lunghua Western,http://223.18.103.169:8277/lunghuawestern_twn/playlist.m3u8
龙详时代,http://223.18.103.169:8277/lungxiangtime_twn/playlist.m3u8
Animax,http://223.18.103.169:8277/Animax/playlist.m3u8
Movies Now HD,http://223.18.103.169:8277/moviesnow_raj/playlist.m3u8
Star Movies HD,http://223.18.103.169:8277/starmovies_raj/playlist.m3u8
卫视中文台 Star Movies Chinese,http://223.18.103.169:8277/weishichinese_twn/playlist.m3u8
HBO Family,http://223.18.103.169:8277/Hbofamily/playlist.m3u8
卫视电影台,http://223.18.103.169:8277/weishimovie_twn/playlist.m3u8
HBO HD,http://223.18.103.169:8277/Hbo/playlist.m3u8
Hits,http://223.18.103.169:8277/Hits/playlist.m3u8
Warner TV,http://223.18.103.169:8277/WarnerTV/playlist.m3u8
美亚电影,http://223.18.103.169:8277/meiyamovie_twn/playlist.m3u8
HBO Signature,http://223.18.103.169:8277/Hbosignature/playlist.m3u8
HBO Hits,http://223.18.103.169:8277/Hbohits/playlist.m3u8
星卫电影,http://223.18.103.169:8277/xingwei_movie/playlist.m3u8
SCM,http://223.18.103.169:8277/Weishimovie/playlist.m3u8
Thrill,http://223.18.103.169:8277/Thrill/playlist.m3u8
Hits Movie,http://223.18.103.169:8277/Hitsmovie/playlist.m3u8
One,http://223.18.103.169:8277/One_mega/playlist.m3u8
tvN Movie,http://223.18.103.169:8277/Tvnmovie/playlist.m3u8
Celestial Classic,http://223.18.103.169:8277/Celestial2/playlist.m3u8
Celestial Movies HD,http://223.18.103.169:8277/Celestialindo/playlist.m3u8
Axn HD,http://223.18.103.169:8277/Axn/playlist.m3u8
Paramount Network,http://223.18.103.169:8277/Paramountnetwork/playlist.m3u8
Astrol Kplus,http://223.18.103.169:8277/Kplus/playlist.m3u8
Rock Actions,http://223.18.103.169:8277/Rockaction/playlist.m3u8
Rock Entertainment,http://223.18.103.169:8277/Rockentertain/playlist.m3u8
Sony Pix HD,http://223.18.103.169:8277/sonypix_mega/playlist.m3u8
SmartTV-Documentary,#genre#
Natgeo_HD,http://223.18.103.169:8277/natgeohd_twn/playlist.m3u8
NatGeo_Wild HD,http://223.18.103.169:8277/natgeowild_twn/playlist.m3u8
Animal_Planet,http://223.18.103.169:8277/animalplanet_twn/playlist.m3u8
Discovery Asia,http://223.18.103.169:8277/discoverytwn_twn/playlist.m3u8
CI,http://223.18.103.169:8277/ci_twn/playlist.m3u8
Asia Travel,http://223.18.103.169:8277/asiatravel_twn/playlist.m3u8
Discovery HD,http://223.18.103.169:8277/discoveryhd_twn/playlist.m3u8
亚洲美食,http://223.18.103.169:8277/afc_twn/playlist.m3u8
美食星球,http://223.18.103.169:8277/foodplanet_twn/playlist.m3u8
亚洲旅游 TLC Asia,http://223.18.103.169:8277/tlc_twn/playlist.m3u8
NatGeo HD,http://223.18.103.169:8277/Natgeo/playlist.m3u8
Fashion TV,http://223.18.103.169:8277/fashiontv_twn/playlist.m3u8
History,http://223.18.103.169:8277/History/playlist.m3u8
BBC Earth HD,http://223.18.103.169:8277/bbcearth_twn/playlist.m3u8
BBC Earth Lifestyle,http://223.18.103.169:8277/bbclifestyle_twn/playlist.m3u8
MTV Live,http://223.18.103.169:8277/mtvhd_twn/playlist.m3u8
NatGeo Wild HD,http://223.18.103.169:8277/Natgeowild/playlist.m3u8
Animal Planet (Eng),http://223.18.103.169:8277/AnimalPlanet/playlist.m3u8
TLC,http://223.18.103.169:8277/Tlc/playlist.m3u8
AFC 亚洲旅游台,http://223.18.103.169:8277/asiatravel_twn/playlist.m3u8
Foodnetwork Hd,http://223.18.103.169:8277/Foodnetwork_mega/playlist.m3u8
HGTV,http://223.18.103.169:8277/HGTV/playlist.m3u8
SmartTV-News,#genre#
Skynews,http://223.18.103.169:8277/skynews_antik/playlist.m3u8
ABC News,http://223.18.103.169:8277/abcnews_glo/playlist.m3u8
东森财经新闻 ETTV Business,http://223.18.103.169:8277/ettvcaijing_twn/playlist.m3u8
CBS HD,http://223.18.103.169:8277/cbshd_glo/playlist.m3u8
CBSN HD,http://223.18.103.169:8277/cbsn_glo/playlist.m3u8
France 24,http://223.18.103.169:8277/france24_twn/playlist.m3u8
DW (Deutsch),http://223.18.103.169:8277/dw_twn/playlist.m3u8
NHK World,http://223.18.103.169:8277/nhkworld_japan/playlist.m3u8
Fox News,http://223.18.103.169:8277/foxnews_twn/playlist.m3u8
CGTN,http://223.18.103.169:8277/CGTN/playlist.m3u8
CNN International,http://223.18.103.169:8277/Cnn/playlist.m3u8
CNN backup,http://223.18.103.169:8277/cnn_twn/playlist.m3u8
CNBC,http://223.18.103.169:8277/cnbc_twn/playlist.m3u8
CNA,http://223.18.103.169:8277/cna/playlist.m3u8
BBC World News,http://223.18.103.169:8277/bbcnews_twn/playlist.m3u8
BBC World News,http://223.18.103.169:8277/Bbcnews/playlist.m3u8
Bloomberg News,http://223.18.103.169:8277/bloomberg_twn/playlist.m3u8
Al-Jazeera,http://223.18.103.169:8277/aljazeera_twn/playlist.m3u8
SmartTV-Kids,#genre#
Baby TV Eng,http://223.18.103.169:8277/Babytv/playlist.m3u8
CBeebies,http://223.18.103.169:8277/Cbeebies/playlist.m3u8
Kids TV,http://223.18.103.169:8277/KidsTV/playlist.m3u8
Boomerang,http://223.18.103.169:8277/Boomerang/playlist.m3u8
Disney Taiwan,http://223.18.103.169:8277/disneytwn_twn/playlist.m3u8
Momo TV,http://223.18.103.169:8277/momo1_twn/playlist.m3u8
Animax,http://223.18.103.169:8277/Animax/playlist.m3u8
靖天卡通台,http://223.18.103.169:8277/jingtiancartoon_twn/playlist.m3u8
Boomerang Taiwan,http://223.18.103.169:8277/boomerang_twn/playlist.m3u8
Baby TV,http://223.18.103.169:8277/babytv_twn/playlist.m3u8
MiaoMi,http://223.18.103.169:8277/MiaoMi/playlist.m3u8
东森幼幼 Yoyo TV,http://223.18.103.169:8277/yoyo_twn/playlist.m3u8
Cartoon Network,http://223.18.103.169:8277/Cn/playlist.m3u8
Nickelodeon,http://223.18.103.169:8277/Nickelodeon/playlist.m3u8
Nick Jr,http://223.18.103.169:8277/Nickjr/playlist.m3u8
SmartTV-Thailand,#genre#
Channel 3 Thailand,http://223.18.103.169:8277/ch3_pat/playlist.m3u8
Channel 5 Thailand,http://223.18.103.169:8277/ch5_pat/playlist.m3u8
Channel 7 Thailand,http://223.18.103.169:8277/ch7_pat/playlist.m3u8
MCOT HD Thailand-1,http://223.18.103.169:8277/mcot_pat/playlist.m3u8
PPTV Thailand1,http://223.18.103.169:8277/pptv_pat/playlist.m3u8
Thai Thai,http://223.18.103.169:8277/thaithai_pat/playlist.m3u8
Amarin,http://223.18.103.169:8277/amarin_pat/playlist.m3u8
Ch 8,http://223.18.103.169:8277/ch8_pat/playlist.m3u8
GmmOne,http://223.18.103.169:8277/gmmone_pat/playlist.m3u8
Mono,http://223.18.103.169:8277/mono_pat/playlist.m3u8
Thairath,http://223.18.103.169:8277/thairath_pat/playlist.m3u8
tpbs,http://223.18.103.169:8277/tpbs_pat/playlist.m3u8
Workpoint,http://223.18.103.169:8277/workpoint_pat/playlist.m3u8
Gmm Channel,http://223.18.103.169:8277/gmmchannel_pat/playlist.m3u8
Nation,http://223.18.103.169:8277/nation_pat/playlist.m3u8
Tnn24,http://223.18.103.169:8277/tnn24_pat/playlist.m3u8
Nbt,http://223.18.103.169:8277/nbt_pat/playlist.m3u8
New,http://223.18.103.169:8277/new_pat/playlist.m3u8
TPTV,http://223.18.103.169:8277/tptv_pat/playlist.m3u8
SmartTV-United Kingdom,#genre#
BBC 1,http://223.18.103.169:8277/bbc1_antik/playlist.m3u8
BBC 2,http://223.18.103.169:8277/bbc2_antik/playlist.m3u8
CBBC,http://223.18.103.169:8277/cbbc_antik/playlist.m3u8
More4,http://223.18.103.169:8277/more4_antik/playlist.m3u8
Freesports,http://223.18.103.169:8277/freesports_antik/playlist.m3u8
Skynews,http://223.18.103.169:8277/skynews_antik/playlist.m3u8
Pick TV,http://223.18.103.169:8277/picktv_antik/playlist.m3u8
itv 1,http://223.18.103.169:8277/itv1_antik/playlist.m3u8
itv 2,http://223.18.103.169:8277/itv2_antik/playlist.m3u8
Euronews,http://223.18.103.169:8277/euronews_antik/playlist.m3u8
Channel 4,http://223.18.103.169:8277/channel4_antik/playlist.m3u8
NatGeo HD,http://223.18.103.169:8277/Natgeo/playlist.m3u8
CBeebies,http://223.18.103.169:8277/Cbeebies/playlist.m3u8
History,http://223.18.103.169:8277/History/playlist.m3u8
Kids TV,http://223.18.103.169:8277/KidsTV/playlist.m3u8
France 24,http://223.18.103.169:8277/france24_twn/playlist.m3u8
DW (Deutsch),http://223.18.103.169:8277/dw_twn/playlist.m3u8
Boomerang,http://223.18.103.169:8277/Boomerang/playlist.m3u8
BBC Earth HD,http://223.18.103.169:8277/bbcearth_twn/playlist.m3u8
BBC Earth Lifestyle,http://223.18.103.169:8277/bbclifestyle_twn/playlist.m3u8
MTV Live,http://223.18.103.169:8277/mtvhd_twn/playlist.m3u8
Star Movies HD,http://223.18.103.169:8277/starmovies_raj/playlist.m3u8
NHK World,http://223.18.103.169:8277/nhkworld_japan/playlist.m3u8
HBO HD,http://223.18.103.169:8277/Hbo/playlist.m3u8
Warner TV,http://223.18.103.169:8277/WarnerTV/playlist.m3u8
NatGeo Wild HD,http://223.18.103.169:8277/Natgeowild/playlist.m3u8
Nickelodeon,http://223.18.103.169:8277/Nickelodeon/playlist.m3u8
Nick Jr,http://223.18.103.169:8277/Nickjr/playlist.m3u8
Thrill,http://223.18.103.169:8277/Thrill/playlist.m3u8
CGTN,http://223.18.103.169:8277/CGTN/playlist.m3u8
Skysports Arena,http://223.18.103.169:8277/tiankongarena/playlist.m3u8
Skysports F1,http://223.18.103.169:8277/tiankongf1/playlist.m3u8
Skysports Cricket,http://223.18.103.169:8277/tiankongcricket/playlist.m3u8
Skysports EPL,http://223.18.103.169:8277/tiankongepl/playlist.m3u8
Skysports Football,http://223.18.103.169:8277/tiankongfootball/playlist.m3u8
Skysports Golf,http://223.18.103.169:8277/tiankonggolf/playlist.m3u8
Skysports Main Event,http://223.18.103.169:8277/tiankongmain/playlist.m3u8
Skysports News,http://223.18.103.169:8277/tiankongnews/playlist.m3u8
Hits Movie,http://223.18.103.169:8277/Hitsmovie/playlist.m3u8
Animal Planet (Eng),http://223.18.103.169:8277/AnimalPlanet/playlist.m3u8
CNBC,http://223.18.103.169:8277/cnbc_twn/playlist.m3u8
TLC,http://223.18.103.169:8277/Tlc/playlist.m3u8
BBC World News,http://223.18.103.169:8277/bbcworldnews_antik/playlist.m3u8
HGTV,http://223.18.103.169:8277/HGTV/playlist.m3u8
Axn HD,http://223.18.103.169:8277/Axn/playlist.m3u8
Bloomberg News,http://223.18.103.169:8277/bloomberg_twn/playlist.m3u8
Al-Jazeera,http://223.18.103.169:8277/aljazeera_twn/playlist.m3u8
SmartTV-Vietnam,#genre#
ANTV,http://223.18.103.169:8277/viet_antv/playlist.m3u8
VTV 1,http://223.18.103.169:8277/viet_vtv1/playlist.m3u8
VTV 7,http://223.18.103.169:8277/viet_vtv7/playlist.m3u8
HTV 7,http://223.18.103.169:8277/viet_htv7/playlist.m3u8
HTV 9,http://223.18.103.169:8277/viet_htv9/playlist.m3u8
BPTV 2,http://223.18.103.169:8277/viet_bptv2/playlist.m3u8
BRT HD,http://223.18.103.169:8277/viet_brt/playlist.m3u8
Ca Mau TV,http://223.18.103.169:8277/viet_camautv/playlist.m3u8
Danang TV1 HD,http://223.18.103.169:8277/viet_danangtv1/playlist.m3u8
Danang TV2 HD,http://223.18.103.169:8277/viet_danangtv2/playlist.m3u8
HBTV HD,http://223.18.103.169:8277/viet_hbtv/playlist.m3u8
PTTH 1,http://223.18.103.169:8277/viet_ptth1/playlist.m3u8
SmartTV-Korea,#genre#
Arirang HD,http://223.18.103.169:8277/arirang_korea/playlist.m3u8
Yonhap News,http://223.18.103.169:8277/yonhapnews_korea/playlist.m3u8
CBS,http://223.18.103.169:8277/cbs_korea/playlist.m3u8
EBS 1,http://223.18.103.169:8277/ebs1_korea/playlist.m3u8
EBS2,http://223.18.103.169:8277/ebs2_korea/playlist.m3u8
EBS Plus2,http://223.18.103.169:8277/ebsplus2_korea/playlist.m3u8
SBS Plus,http://223.18.103.169:8277/sbsplus_korea/playlist.m3u8
YTN,http://223.18.103.169:8277/ytn_korea/playlist.m3u8
KBS World 24,http://223.18.103.169:8277/kbsworld24_korea/playlist.m3u8
YTN Science,http://223.18.103.169:8277/ytnscience_korea/playlist.m3u8
YTN Korean,http://223.18.103.169:8277/ytnkorean_korea/playlist.m3u8
YTN DMB,http://223.18.103.169:8277/ytndmb_korea/playlist.m3u8
Apps TV,http://223.18.103.169:8277/appongoogle_korea/playlist.m3u8
All the Kpop,http://223.18.103.169:8277/allthekpop_korea/playlist.m3u8
J the Kpop,http://223.18.103.169:8277/jthekpop_korea/playlist.m3u8
EBS Kids,http://223.18.103.169:8277/ebskids_korea/playlist.m3u8
CGNTV,http://223.18.103.169:8277/cgntv_korea/playlist.m3u8
SmartTV-Japan,#genre#
NHK-総合-2,http://223.18.103.169:8277/nhkg_japan/playlist.m3u8
NHK-E,http://223.18.103.169:8277/nhke_japan/playlist.m3u8
テレビ朝日 Asahi TV,http://223.18.103.169:8277/asahitv_japan/playlist.m3u8
JET 綜合,http://223.18.103.169:8277/jettv_japan/playlist.m3u8
テレビ東京 Tokyo TV,http://223.18.103.169:8277/tokyotv_japan/playlist.m3u8
TOKYOMX,http://223.18.103.169:8277/tokyomx_japan/playlist.m3u8
NHKBS1,http://223.18.103.169:8277/nhkbs1_japan/playlist.m3u8
NHKBSプレミア Premium,http://223.18.103.169:8277/nhkpremium_japan/playlist.m3u8
BSジャパン 181,http://223.18.103.169:8277/bs181_japan/playlist.m3u8
BSフジ BS Fuji,http://223.18.103.169:8277/bsfuji_japan/playlist.m3u8
CNA Japan,http://223.18.103.169:8277/cna_japan/playlist.m3u8
BS-TBS,http://223.18.103.169:8277/bstbs_japan/playlist.m3u8
NHK Oaska,http://223.18.103.169:8277/nhkosaka_japan/playlist.m3u8
NHK World,http://223.18.103.169:8277/nhkworld_japan/playlist.m3u8
